cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_p95_height_m,10,target_only_ridge,20,100,2.9512461704692905,3.072539343743492,0.017263318368250548,-0.04615214645655049,0.3317033050720901,0.3081334112085142,0.4175497208105904,0.37355165865835444,2.7425109543946284,-0.11091597347666564
all_site_folds_to_100,ahn4_p95_height_m,10,target_reference_mean,20,100,3.245309839969493,3.2713875592251904,-0.06975220243419765,-0.16323257388161086,,,,,2.908364611006748,-0.07019243860256204
all_site_folds_to_100,ahn4_p95_height_m,25,source_offset,20,100,2.7467738522486007,2.7906018299046074,0.15123632210223795,0.11097629468261637,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.5393798174109654,-0.0020761699741536177
all_site_folds_to_100,ahn4_p95_height_m,25,source_plus_target_ridge,20,100,2.9989487331169737,3.1841714489141495,0.04232793010542315,-0.29794923698428405,0.47938206879586187,0.45138477939779137,0.5474386724386726,0.5152452379658156,2.5254413872795296,-0.10382989385347016
all_site_folds_to_100,ahn4_p95_height_m,25,target_only_ridge,20,100,2.6394886651739284,2.7891902321607844,0.1621713650900708,0.1362518227470329,0.44567151225030344,0.4121925679627333,0.5345145258358219,0.48880428746503657,2.5266909333158742,-0.04807121391798951
all_site_folds_to_100,ahn4_p95_height_m,25,target_reference_mean,20,100,3.161373512722472,3.1997613040740736,-0.042389878162044606,-0.10739071089113403,,,,,2.908364611006748,-0.0274161562157822
all_site_folds_to_100,ahn4_p95_height_m,50,source_offset,20,100,2.7754994231929624,2.7753731873315077,0.17584376760697715,0.12192530927344179,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.5393798174109654,0.0023598634844421273
all_site_folds_to_100,ahn4_p95_height_m,50,source_plus_target_ridge,20,100,2.9767154442624415,3.1479711542942295,0.04659878225819525,-0.25518148902169924,0.4802747244449547,0.4533067856482037,0.5468861547808916,0.5153245460152122,2.5164833053431255,-0.09398072093185673
all_site_folds_to_100,ahn4_p95_height_m,50,target_only_ridge,20,100,2.5173013284542667,2.6344833143027753,0.2601257602679309,0.22323270201139145,0.5008354056149035,0.47854568026811967,0.6045114707711823,0.5597305013835091,2.380159301841669,-0.05704544476391361
all_site_folds_to_100,ahn4_p95_height_m,50,target_reference_mean,20,100,3.162317455038934,3.182074488972577,-0.0373300670284233,-0.09349360911113805,,,,,2.908364611006748,-0.021284983883018527
all_site_folds_to_100,ahn4_p95_height_m,100,source_offset,20,100,2.7619109570148828,2.768656315749742,0.1801406592519627,0.12462752822649645,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.539379817410966,0.10450855656018615
all_site_folds_to_100,ahn4_p95_height_m,100,source_plus_target_ridge,20,100,2.9498197094289873,3.0861456419679456,0.05475618434804645,-0.18605455912019356,0.4855675473951335,0.4563480343148995,0.5503759398496241,0.5166049749690602,2.502119547121405,-0.07843663333873054
all_site_folds_to_100,ahn4_p95_height_m,100,target_only_ridge,20,100,2.4116346984404196,2.5161174337948564,0.3291521140488285,0.28599857590218325,0.5305085828062974,0.5161178243069482,0.6432330827067669,0.5947663281776824,2.326581135249773,-0.04093946189534379
all_site_folds_to_100,ahn4_p95_height_m,100,target_reference_mean,20,100,3.180322841524667,3.1792109000655597,-0.0316056510327238,-0.09426367954253764,,,,,2.908364611006748,0.08076076686847679
all_site_folds_to_100,ahn4_pulse_penetration,0,source_mean,20,100,0.06559330445456985,0.06780547384745729,-0.16259368654984435,-0.3766215566116194,,,,,0.059117510124040304,-2.9300769084036962e-05
all_site_folds_to_100,ahn4_pulse_penetration,0,source_ridge,20,100,0.052540658436954255,0.05517344528160433,0.15560461340277645,-0.07707263626110417,0.6627541741777297,0.623254597073975,0.7101600985221673,0.6326613340537852,0.0406474172414277,-0.0012452494464545612
all_site_folds_to_100,ahn4_pulse_penetration,2,source_offset,20,100,0.04892218165596935,0.052184914862165505,0.2932068321652921,0.06923107435342374,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0021410425882978836
all_site_folds_to_100,ahn4_pulse_penetration,2,source_plus_target_ridge,20,100,0.05309557381604835,0.05483203273343217,0.1549654181124025,-0.06630314912187052,0.6675486829515767,0.624721819164472,0.705947405085336,0.6339641803039902,0.0404442896660773,-0.0014111189422942212
all_site_folds_to_100,ahn4_pulse_penetration,2,target_only_ridge,20,100,0.09258457447734356,0.42790991723945176,-1.2883435564329997,-3202.30158636115,0.0365729136388664,0.02858729753498336,0.02124221558566535,0.023649588431297903,0.07569642281733,-0.030824573266242102
all_site_folds_to_100,ahn4_pulse_penetration,2,target_reference_mean,20,100,0.07094126842284615,0.07366163621528331,-0.28491618778406386,-0.6201997483273792,,,,,0.059117510124040304,0.0011822173022161227
all_site_folds_to_100,ahn4_pulse_penetration,5,source_offset,20,100,0.04524595135531785,0.047355309610321986,0.372128947041364,0.27060939255111705,0.6627541741777297,0.6232545970739751,0.7101600985221673,0.6326613340537851,0.0406474172414277,0.0016178595296760094
all_site_folds_to_100,ahn4_pulse_penetration,5,source_plus_target_ridge,20,100,0.052685994177092396,0.0546814994265915,0.15474913029340348,-0.059338757257058526,0.6674531589204181,0.6248828433577501,0.709605911330049,0.6335747571550219,0.040437288463857954,-0.0013934528856690644
