target_site,forest_group,fold,target,reference_pool_rows,eligible_200,budget,replicate,method,reference_rows,reference_blocks,rmse,mae,r2,bias,unit_spearman,block_spearman,centred_rmse,test_rows,test_blocks
voornes_duin,broadleaf,3,ahn4_entropy,228,True,0,0,source_ridge,0,0,0.3581858754550671,0.3133329504637804,-0.2608139139614216,0.0353922487911403,-0.0782357403460607,-0.3166666666666666,0.3564330373310236,94,9
voornes_duin,broadleaf,3,ahn4_pulse_penetration,228,True,0,0,source_ridge,0,0,0.0445788562881732,0.0364517539066518,0.494579486409042,-0.0231390411810157,0.7519632987754217,0.9333333333333332,0.0381032702164113,94,9
voornes_duin,broadleaf,3,ahn4_sigma_z,228,True,0,0,source_ridge,0,0,1.6108710955479524,1.4458972783030368,-0.2085124404957634,0.6654395895075598,0.1609435393562836,0.0833333333333333,1.4670023310096922,94,9
voornes_duin,broadleaf,4,ahn4_p95_height_m,199,False,0,0,source_ridge,0,0,3.288292498896219,2.878523841930744,-0.8645905645553158,2.458048735471658,0.3412708160242748,0.5333333333333333,2.184230750709119,94,9
voornes_duin,broadleaf,4,ahn4_height_sd_m,199,False,0,0,source_ridge,0,0,1.5374084006518725,1.375021932289937,-3.001522548729306,1.2873818742721224,0.0649134848101723,0.35,0.840400202397968,94,9
voornes_duin,broadleaf,4,ahn4_height_cv,199,False,0,0,source_ridge,0,0,0.124125962598603,0.1094402959066046,-0.9671853958770248,0.0991649434026741,0.4309865260268035,0.1999999999999999,0.0746563365761691,94,9
voornes_duin,broadleaf,4,ahn4_entropy,199,False,0,0,source_ridge,0,0,0.2688733722866138,0.2354346384340755,-2.4907066721617888,0.2240929513853354,0.1278112921287432,0.4666666666666666,0.1485773854399978,94,9
voornes_duin,broadleaf,4,ahn4_pulse_penetration,199,False,0,0,source_ridge,0,0,0.0434819736064516,0.0328612030922973,-0.0295789203182386,-0.0193454147741015,0.4517212729834194,0.4166666666666666,0.0389414554932161,94,9
voornes_duin,broadleaf,4,ahn4_sigma_z,199,False,0,0,source_ridge,0,0,1.4524264108975975,1.302330887636364,-2.502215870131705,1.21762706997194,0.1162807499187226,0.5333333333333333,0.7917870910443195,94,9
rijntakken,broadleaf,0,ahn4_p95_height_m,274,True,0,0,source_ridge,0,0,3.747608299629656,2.923024563868197,-0.0622789055585326,-2.369277942425834,0.6579945799457995,0.645320197044335,2.90363392992083,81,28
rijntakken,broadleaf,0,ahn4_height_sd_m,274,True,0,0,source_ridge,0,0,1.9236537143656824,1.5818215925823105,-0.732385583557567,-1.5099573034357137,0.6527551942186088,0.6174055829228243,1.1918357917909812,81,28
rijntakken,broadleaf,0,ahn4_height_cv,274,True,0,0,source_ridge,0,0,0.2044236473530388,0.172038083511671,-2.232467453122489,-0.1692786266093229,0.0949412827461607,0.1226053639846743,0.1146026795951168,81,28
rijntakken,broadleaf,0,ahn4_entropy,274,True,0,0,source_ridge,0,0,0.2261739502105316,0.171470595390253,-0.1273691287919598,-0.0707277984937231,0.5299683830171635,0.4696223316912972,0.2148307107330498,81,28
rijntakken,broadleaf,0,ahn4_pulse_penetration,274,True,0,0,source_ridge,0,0,0.0727145943252793,0.0597916848012531,-0.2983172305281603,-0.0042002282981158,-0.009327009936766,-0.0388615216201423,0.0725931836340964,81,28
rijntakken,broadleaf,0,ahn4_sigma_z,274,True,0,0,source_ridge,0,0,1.736490197068579,1.4376419735402826,-0.5131127775921949,-1.332373358037505,0.6601626016260163,0.6464148877941982,1.113633440278773,81,28
rijntakken,broadleaf,1,ahn4_p95_height_m,243,True,0,0,source_ridge,0,0,4.628642083492793,3.395449947430276,0.1305659091328331,-2.54612814302289,0.6022269104547586,0.6480569239189928,3.865431284654704,80,28
rijntakken,broadleaf,1,ahn4_height_sd_m,243,True,0,0,source_ridge,0,0,2.171693199128221,1.6153237780588872,-0.2285926503921669,-1.3731020915672725,0.4464369432723863,0.4920634920634921,1.6825106232274876,80,28
rijntakken,broadleaf,1,ahn4_height_cv,243,True,0,0,source_ridge,0,0,0.18450917550245,0.1449780930989166,-0.5807043493006538,-0.107738674604325,0.2553914674167838,0.1532567049808429,0.1497865609428872,80,28
rijntakken,broadleaf,1,ahn4_entropy,243,True,0,0,source_ridge,0,0,0.2104648605224323,0.1721024777568579,0.1718082248671203,-0.0600580619511222,0.53328645100797,0.5331143951833607,0.2017138733686953,80,28
rijntakken,broadleaf,1,ahn4_pulse_penetration,243,True,0,0,source_ridge,0,0,0.069283783390962,0.0581641126253918,-0.1431732494214399,-0.0201788390704265,0.3591186122831692,-0.0355774493705528,0.0662801410283319,80,28
rijntakken,broadleaf,1,ahn4_sigma_z,243,True,0,0,source_ridge,0,0,2.059595689850967,1.5259898017216162,-0.1701034977367435,-1.2391125495009387,0.4145804031879981,0.4406130268199233,1.645154854511259,80,28
rijntakken,broadleaf,2,ahn4_p95_height_m,268,True,0,0,source_ridge,0,0,3.0503418304319574,2.4951490826248817,-0.2403837535332518,-0.5298226281999334,0.1877637130801688,0.1724137931034483,3.003976242437729,80,28
rijntakken,broadleaf,2,ahn4_height_sd_m,268,True,0,0,source_ridge,0,0,1.5085833892666105,1.2336393477646963,-0.3795004621287341,-0.8218882367881797,0.4319737458977966,0.3749315818281335,1.2650389593211544,80,28
rijntakken,broadleaf,2,ahn4_height_cv,268,True,0,0,source_ridge,0,0,0.1848772238517312,0.1497223220188142,-1.0651097413609405,-0.1399100623376818,0.6344585091420535,0.5134099616858239,0.1208501648976497,80,28
rijntakken,broadleaf,2,ahn4_entropy,268,True,0,0,source_ridge,0,0,0.2308991777353606,0.1933434475246634,-0.5275497696344842,0.0310278230423979,0.2331926863572433,-0.0202517788724685,0.2288049485393952,80,28
rijntakken,broadleaf,2,ahn4_pulse_penetration,268,True,0,0,source_ridge,0,0,0.0692777231951577,0.0530490899600215,0.2949351192433771,-0.0051050813040134,0.646319737458978,0.6108374384236454,0.0690893702097819,80,28
rijntakken,broadleaf,2,ahn4_sigma_z,268,True,0,0,source_ridge,0,0,1.4158367235357752,1.134967695891628,-0.3566089937093399,-0.6588669118671369,0.3843178621659635,0.3683634373289545,1.2531911347273337,80,28
rijntakken,broadleaf,3,ahn4_p95_height_m,256,True,0,0,source_ridge,0,0,3.972662162734034,2.851790200835011,0.0448561614336613,-1.987974846288864,0.5478319783197833,0.5684093437152391,3.439476801744913,81,30
rijntakken,broadleaf,3,ahn4_height_sd_m,256,True,0,0,source_ridge,0,0,1.8646600621084224,1.4383907864248784,-0.2690163403514765,-1.1733699392541144,0.4034101174345076,0.4211345939933259,1.4491929246573696,81,30
rijntakken,broadleaf,3,ahn4_height_cv,256,True,0,0,source_ridge,0,0,0.1790736954985405,0.1414280672144565,-0.8024332564038523,-0.1184616462756742,0.1797199638663053,0.2387096774193548,0.1342915737533857,81,30
rijntakken,broadleaf,3,ahn4_entropy,256,True,0,0,source_ridge,0,0,0.2483433484898213,0.1834176114594747,-0.0934099527513321,-0.0541823299638551,0.4143179765130984,0.2404894327030033,0.2423606689601775,81,30
rijntakken,broadleaf,3,ahn4_pulse_penetration,256,True,0,0,source_ridge,0,0,0.061434503581293,0.049157067083524,0.0804324019981126,-0.0216855869760867,0.5174345076784101,0.5439377085650723,0.0574798534078027,81,30
rijntakken,broadleaf,3,ahn4_sigma_z,256,True,0,0,source_ridge,0,0,1.719335526146519,1.321835026967756,-0.1905057744745739,-0.9828545139781204,0.3742095754290875,0.3917686318131257,1.4107131727684263,81,30
rijntakken,broadleaf,4,ahn4_p95_height_m,244,True,0,0,source_ridge,0,0,5.168559793294203,3.933552517304805,0.1768538802964717,-2.2261776521486536,0.696386630532972,0.5973303670745272,4.6645625087387685,81,30
rijntakken,broadleaf,4,ahn4_height_sd_m,244,True,0,0,source_ridge,0,0,2.2479162618634185,1.6773380121873096,0.0022435902117371,-1.2717605103192662,0.6434281842818428,0.6124582869855395,1.85357835678519,81,30
rijntakken,broadleaf,4,ahn4_height_cv,244,True,0,0,source_ridge,0,0,0.1802077618071211,0.1428348552268955,-0.7076169397401892,-0.1230245464654935,0.2942186088527552,0.3566184649610678,0.1316806682185799,81,30
rijntakken,broadleaf,4,ahn4_entropy,244,True,0,0,source_ridge,0,0,0.272332620440846,0.1931592909823344,0.1679680306939991,0.0250773763866481,0.5398373983739837,0.4963292547274749,0.2711755544840653,81,30
rijntakken,broadleaf,4,ahn4_pulse_penetration,244,True,0,0,source_ridge,0,0,0.0656217623378666,0.0565533249286341,-0.0658595463362303,-0.0269489118549426,0.1135953026196928,0.2836484983314794,0.0598328659029632,81,30
rijntakken,broadleaf,4,ahn4_sigma_z,244,True,0,0,source_ridge,0,0,2.071022066415156,1.5412599223595531,0.0488951884351729,-1.0853443289798792,0.6365176151761517,0.5635150166852058,1.7638480907180525,81,30
geleenbeekdal,broadleaf,0,ahn4_p95_height_m,166,False,0,0,source_ridge,0,0,4.6415424959105644,3.595250654270938,-0.0541701972526007,-2.6332491415607797,0.6313173933427099,0.6666666666666667,3.822291943299608,80,9
